kernel [0];class [1];nclusters [2];master (s) [3];master relative stdev (%) [4];slave (s) [5];slave relative stdev (%) [6];comm (s) [7];comm relative stdev (%) [8];data sent (MB) [9];data received (MB) [10];power (W) [11];power relative stdev (%) [12];energy (J) [13];energy relative stdev (%) [14]
is;tiny;16;3.07;0.0009024358698391089;0.91;0.0;1.14;0.000774981786478265;32.0;32.0;4.44;0.6209030969409963;52.2;3.742100304241346
is;small;1;6.14;0.00038984806922454367;31.43;1.130275848919889e-14;32.0;0.00018200739486803257;64.0;64.0;4.26;0.18796992481202607;176.92;0.11324618287055087
is;small;2;6.14;0.0005635311991371638;15.72;0.0;16.43;0.0001570720536783622;64.0;64.0;4.26;0.11489163896731358;113.25;0.1243018109265878
is;small;4;6.14;0.0007481765115273009;7.86;0.0;8.47;0.00012449056134470097;64.0;64.0;4.25;0.23972823289105205;78.97;0.18725122598865154
is;small;8;6.14;0.00017411751301982516;3.93;0.0;4.44;0.0003401244996967815;64.0;64.0;4.31;0.11356002516380824;67.11;0.1103069916454895
is;small;16;6.14;0.0004885787557065086;1.96;0.0;2.41;0.0006496995250584552;64.0;64.0;4.52;0.8223287019336074;74.94;0.8448209606159796
is;standard;1;12.27;0.00022611885613575846;67.49;0.0;68.6;1.9505010960601818e-05;128.0;128.0;4.27;0.22935297217071485;365.56;0.2998868560519495
is;standard;2;12.27;0.00017373876311264677;33.75;0.0;35.16;1.423160402834274e-05;128.0;128.0;4.26;0.18761726078799684;219.87;0.17946373484709646
is;standard;4;12.27;0.00029893609010011153;16.87;0.0;18.08;7.074017094971226e-05;128.0;128.0;4.29;0.09319664492078088;152.64;0.06816115099264106
is;standard;8;12.27;0.0002616639647102536;8.44;0.0;9.44;8.944958522176108e-05;128.0;128.0;4.34;0.44658497074309816;119.78;0.3927223105232734
is;standard;16;12.28;0.00019649257304918258;4.22;0.0;5.09;0.0003467736511329575;128.0;128.0;4.54;0.5849426438016572;120.52;0.6583932096205546
is;large;1;25.83;0.00029384323505711295;141.01;0.0;143.22;1.886829032343764e-05;256.0;256.0;4.28;0.34322602654598705;751.9;0.3553774555817672
is;large;2;25.83;0.00015239636924798097;70.51;0.0;106.07;2.0025033592474077e-05;256.0;256.0;4.3;0.09306654257794125;595.46;0.09079465896127628
is;large;4;25.83;0.00010121599052638247;35.25;0.0;54.07;8.217125045978743e-05;256.0;256.0;4.31;0.11377100523841739;372.73;0.13302168720054225
is;large;8;25.82;0.00028280459985371406;17.63;0.0;28.06;8.722728486119649e-05;256.0;256.0;4.32;0.09254974548819794;270.45;0.08162717067159299
is;large;16;25.83;0.0001632122263028833;8.81;0.0;14.78;0.0001829644181544798;256.0;256.0;4.48;0.6717290606958402;230.8;0.6087008822188152
is;huge;1;56.72;0.0001664648814632054;282.06;0.0;286.46;7.0290182003259475e-06;512.0;512.0;4.3;0.3288868749704861;1520.54;0.3286170688212988
is;huge;2;56.72;0.00013383948657519923;141.03;0.0;177.91;0.00012392438489445079;512.0;512.0;4.3;0.11382387280590733;1057.19;0.12416594901945399
is;huge;4;56.72;0.00026320600494510974;70.52;0.0;90.45;1.9012976568826802e-05;512.0;512.0;4.31;0.11356002516380824;684.04;0.08944986332333914
is;huge;8;56.72;0.00024022652995174036;35.26;0.0;46.73;9.038017164062188e-05;512.0;512.0;4.32;0.2535752581042457;501.0;0.5413601444168257
is;huge;16;56.72;7.880014284224238e-05;17.63;0.0;25.14;8.784911679372045e-05;512.0;512.0;4.52;0.5695888031266652;441.35;0.6072955019270039
